OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant alp ,Ant dio,Ant odo,Ast alp,Ave fle,Bis viv,Bot lun,Cam rot,Car atr,Car atr,Car big,Car cap,Car nor,Car vag,Cer alp,Cer fon,Des ces,Epi ana,Epi sp ,Eup fri,Fes ovi,Fes rub,Fes viv,Gen niv,Hie pil,Hie sp,Jun tri,L. spi,Leo aut,Luz mul,Luz sp,Luz spi,Nar stri,Oma nor ,Oma sup,Par pal,Phl alp,Phy cae,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr sp,Rum ac-la,Ran acr,Rum ace,Sag pro,Sag sag,Sag sp,Sal her,Sal ret,Sau alp,Sel sel,Sib pro,Sil aca,Tar sp,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Vio bif,Vio pal,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,18,2009,11-Aug,Presence,W,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,0,0,0,2,30,10,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,19,2009,11-Aug,Presence,W,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,0,2,0,1,30,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,20,2009,11-Aug,Presence,W,,1,,,,,F,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,0,0,0,0,30,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,21,2009,11-Aug,Presence,W,,F,1,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,1,,,1,1,,,,,,,,,,1,,,,0,5,0,0,20,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,22,2009,11-Aug,Presence,W,,1,1,,,,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,1,0,0,30,0,0,,,,3,9.5,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,23,2009,11-Aug,Presence,W,,1,,,,,,,,F,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,0,0,0,2,25,5,0,,,,4,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,24,2009,11-Aug,Presence,W,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,0,0,0,0,0,0,0,,,,3,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,25,2009,11-Aug,Presence,W,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,0,0,0,0,0,0,,,,6,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,%,2009,11-Aug,Cover,W,,15,12,,,8,3,1,,4,,1,2,,,,1,1,,,2,,,1,1,1,,1,,,,,,,,1,,,1,,2,,1,,1,,,,,2,,1,,,5,,,1,3,,,1,,,,1,2,1,6,,,,0.48,2.12,0.08,2.28,19.4,3.48,0,45,6,2,4,9.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
