OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer,Alc alp,Alc sp,Ant alp,Ant dio,Ant odo,Arc alp,Ast alp,Ave fle,Bart alp,Bet nan,Bet pub,Bis viv,Cam rot,Car big ,Car cap,Car nor,Car sp,Car vag,Cer alp,Cer cer,Cer fon,Cer fon,Des ces,Emp her,Epi ana,Epi sp,Euph fri,Euph str,Fes ovi,Fes rub,Fes viv,Gen pur,Hie alp,Hie pil,Hie vul,Jun tri,Luz spi,Leo aut,Luz mul,Luz spi,Luz sp,Nar stri,Oma nor,Oma sup,Oxy dig,Par pal,Par pal,Phle alp,Phyll caer,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr nor,Pyr rot,Rum ac-la,Ran acr,Rho ros,Rum ace,Euph str,Sag pro,Sag sag,Sag sp,Sal her,Sal ret ,Salix sp,Sax aiz,Sel sel,Sib pro,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri rep,Vac myr,Ver alp,Ver fru,Ver serp,Vio bif,Vio pal,Nid seedling,Nid gram,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,16,2009,14-Aug,Presence,W,,,,,,DF,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,17,2009,14-Aug,Presence,W,,1,1,,,F,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,F,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,0,0,0,0,5,0,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,18,2009,14-Aug,Presence,W,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,3,1,0,0,15,1,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,19,2009,14-Aug,Presence,W,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,F,,1,,,,,,,,,,,,,,1,0,0,0,5,0,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,20,2009,14-Aug,Presence,W,,,,,,,,,,,,,,,1,,,F,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,F,,1,,1,,,,,,,,1,,,,0,0,0,0,10,0,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,21,2009,14-Aug,Presence,W,,,F,,,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,F,,,,,,,,,,,,,,,,F,,,,1,1,,,,,1,,,1,,,,1,,,,,,,0,0,0,0,10,0,0,,,,,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,22,2009,14-Aug,Presence,W,,,1,,,D,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,0,5,0,0,5,0,0,,,,5,1,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,23,2009,14-Aug,Presence,W,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,10,0,0,0,25,0,0,,,,4,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,24,2009,14-Aug,Presence,W,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,F,,1,,S,1,1,,,,,,,,,,0,5,0,0,10,0,0,,,,4,,
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,25,2009,14-Aug,Presence,W,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,F,,,F,,,,,,,1,,,,0,0,0,0,0,0,0,,,,3,,
